"zcta","med_inc","inc_lowest_quint_ul","inc_second_quint_ul","inc_third_quint_ul","inc_fourth_quint_ul","inc_top5_pct_ll","inc_ineq_ratio","gini_coef"
"60706",68808,27386,52176,82599,130630,214125,4.76995545169065,0.44
"60712",95030,37912,71318,116554,178323,250001,4.70360308081874,0.4716
"60602",191528,120725,169577,209033,250001,250001,2.07083039966867,0.424
"60076",77157,34608,63300,101146,156944,250001,4.53490522422561,0.4573
"60090",68615,32379,55516,84752,128432,209672,3.9665215108558,0.4167
"60103",109323,51720,90483,128340,176025,250001,3.4034222737819,0.3651
"60126",117258,51241,92516,145249,230981,250001,4.50773794422435,0.4631
"60155",54219,30155,44311,68982,102060,151483,3.38451334770353,0.4121
"60067",105294,44562,82902,131985,201159,250001,4.51413760603204,0.4563
"60025",100557,36371,77387,129047,223479,250001,6.14442825327871,0.5175
"60062",112090,43155,89299,140961,230770,250001,5.3474684277604,0.4902
"60074",68613,32571,54992,84157,135828,220050,4.17021276595745,0.4219
"60104",56618,26681,44791,69323,95475,169962,3.57838911585023,0.4586
"60120",61470,29222,48907,75934,110192,189101,3.77085757306139,0.4008
"60153",50176,19810,40543,62550,100137,152988,5.05487127713276,0.4278
"60162",57643,27052,48541,70345,109750,175212,4.05700133077037,0.4204
"60448",107204,56780,92238,127048,183492,250001,3.23163085593519,0.3777
"60463",88915,40193,69456,110587,168538,250001,4.19321772447939,0.4269
"60467",100126,40308,80657,126288,185074,250001,4.59149548476729,0.4454
"60482",57669,23473,44598,68783,103167,164831,4.39513483576876,0.4187
"60558",174760,74458,137037,200265,250001,250001,3.35761100217572,0.4272
"60611",106906,40109,82405,138163,250001,250001,6.2330399660924,0.5452
"60616",52162,14483,35896,70624,120664,227326,8.33142304771111,0.5361
"60651",38955,16108,30377,48097,83290,146737,5.17072262229948,0.4698
