census_name,clean_name,census_place_code,variable,sex,age,total_pop,total_pop_moe,pop_in_cook,pop_in_cook_moe,vintage
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_040E,Female,50 to 54 years,169,105,82,68,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_041E,Female,55 to 59 years,178,104,70,67,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_042E,Female,60 and 61 years,45,37,37,36,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_043E,Female,62 to 64 years,103,60,29,32,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_044E,Female,65 and 66 years,127,92,0,12,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_045E,Female,67 to 69 years,32,24,24,22,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_046E,Female,70 to 74 years,152,70,52,39,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_047E,Female,75 to 79 years,147,75,100,65,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_048E,Female,80 to 84 years,16,25,12,21,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_049E,Female,85 years and over,12,19,12,19,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_003E,Male,Under 5 years,1031,212,552,161,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_004E,Male,5 to 9 years,1196,274,621,214,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_005E,Male,10 to 14 years,1375,290,513,174,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_006E,Male,15 to 17 years,1050,397,217,91,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_007E,Male,18 and 19 years,374,123,104,68,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_008E,Male,20 years,101,43,20,20,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_009E,Male,21 years,438,112,194,91,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_010E,Male,22 to 24 years,912,399,214,138,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_011E,Male,25 to 29 years,1122,311,424,209,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_012E,Male,30 to 34 years,1318,348,383,160,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_013E,Male,35 to 39 years,1376,270,743,235,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_014E,Male,40 to 44 years,1423,221,680,146,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_015E,Male,45 to 49 years,1565,333,814,255,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_016E,Male,50 to 54 years,1640,224,538,158,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_017E,Male,55 to 59 years,1424,235,377,150,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_018E,Male,60 and 61 years,689,167,325,156,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_019E,Male,62 to 64 years,828,186,290,132,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_020E,Male,65 and 66 years,449,170,227,122,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_021E,Male,67 to 69 years,502,129,175,82,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_022E,Male,70 to 74 years,755,225,369,202,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_023E,Male,75 to 79 years,456,126,193,106,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_024E,Male,80 to 84 years,230,81,111,67,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_025E,Male,85 years and over,311,189,270,182,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_027E,Female,Under 5 years,1302,380,696,339,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_028E,Female,5 to 9 years,1218,296,564,226,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_029E,Female,10 to 14 years,1503,384,569,208,2021 5 YR
