zcta,variable,sex,age,total_pop,total_pop_moe,vintage
60010,B01001_040E,Female,50 to 54 years,2055,321,2021 5 YR
60010,B01001_041E,Female,55 to 59 years,2092,468,2021 5 YR
60010,B01001_042E,Female,60 and 61 years,584,163,2021 5 YR
60010,B01001_043E,Female,62 to 64 years,1157,211,2021 5 YR
60010,B01001_044E,Female,65 and 66 years,725,188,2021 5 YR
60010,B01001_045E,Female,67 to 69 years,827,268,2021 5 YR
60010,B01001_046E,Female,70 to 74 years,1404,224,2021 5 YR
60010,B01001_047E,Female,75 to 79 years,1037,162,2021 5 YR
60010,B01001_048E,Female,80 to 84 years,696,167,2021 5 YR
60010,B01001_049E,Female,85 years and over,763,185,2021 5 YR
60015,B01001_003E,Male,Under 5 years,607,146,2021 5 YR
60015,B01001_004E,Male,5 to 9 years,979,263,2021 5 YR
60015,B01001_005E,Male,10 to 14 years,880,151,2021 5 YR
60015,B01001_006E,Male,15 to 17 years,655,134,2021 5 YR
60015,B01001_007E,Male,18 and 19 years,459,189,2021 5 YR
60015,B01001_008E,Male,20 years,239,145,2021 5 YR
60015,B01001_009E,Male,21 years,226,113,2021 5 YR
60015,B01001_010E,Male,22 to 24 years,622,174,2021 5 YR
60015,B01001_011E,Male,25 to 29 years,330,113,2021 5 YR
60015,B01001_012E,Male,30 to 34 years,767,199,2021 5 YR
60015,B01001_013E,Male,35 to 39 years,755,188,2021 5 YR
60015,B01001_014E,Male,40 to 44 years,876,132,2021 5 YR
60015,B01001_015E,Male,45 to 49 years,776,123,2021 5 YR
60015,B01001_016E,Male,50 to 54 years,1137,214,2021 5 YR
60015,B01001_017E,Male,55 to 59 years,1035,177,2021 5 YR
60015,B01001_018E,Male,60 and 61 years,514,150,2021 5 YR
60015,B01001_019E,Male,62 to 64 years,710,123,2021 5 YR
60015,B01001_020E,Male,65 and 66 years,310,163,2021 5 YR
60015,B01001_021E,Male,67 to 69 years,406,107,2021 5 YR
60015,B01001_022E,Male,70 to 74 years,621,144,2021 5 YR
60015,B01001_023E,Male,75 to 79 years,328,104,2021 5 YR
60015,B01001_024E,Male,80 to 84 years,306,95,2021 5 YR
60015,B01001_025E,Male,85 years and over,253,86,2021 5 YR
60015,B01001_027E,Female,Under 5 years,708,193,2021 5 YR
60015,B01001_028E,Female,5 to 9 years,1032,224,2021 5 YR
60015,B01001_029E,Female,10 to 14 years,1003,145,2021 5 YR
60015,B01001_030E,Female,15 to 17 years,613,148,2021 5 YR
60015,B01001_031E,Female,18 and 19 years,179,100,2021 5 YR
60015,B01001_032E,Female,20 years,76,70,2021 5 YR
60015,B01001_033E,Female,21 years,142,83,2021 5 YR
60015,B01001_034E,Female,22 to 24 years,409,161,2021 5 YR
60015,B01001_035E,Female,25 to 29 years,397,107,2021 5 YR
60015,B01001_036E,Female,30 to 34 years,735,143,2021 5 YR
60015,B01001_037E,Female,35 to 39 years,737,164,2021 5 YR
60015,B01001_038E,Female,40 to 44 years,1014,167,2021 5 YR
60015,B01001_039E,Female,45 to 49 years,842,167,2021 5 YR
60015,B01001_040E,Female,50 to 54 years,1008,233,2021 5 YR
60015,B01001_041E,Female,55 to 59 years,1189,241,2021 5 YR
60015,B01001_042E,Female,60 and 61 years,495,146,2021 5 YR
60015,B01001_043E,Female,62 to 64 years,571,127,2021 5 YR
60015,B01001_044E,Female,65 and 66 years,258,75,2021 5 YR
60015,B01001_045E,Female,67 to 69 years,489,131,2021 5 YR
60015,B01001_046E,Female,70 to 74 years,685,134,2021 5 YR
60015,B01001_047E,Female,75 to 79 years,493,135,2021 5 YR
60015,B01001_048E,Female,80 to 84 years,274,82,2021 5 YR
60015,B01001_049E,Female,85 years and over,531,139,2021 5 YR
60016,B01001_003E,Male,Under 5 years,1632,347,2021 5 YR
60016,B01001_004E,Male,5 to 9 years,1822,456,2021 5 YR
60016,B01001_005E,Male,10 to 14 years,1842,393,2021 5 YR
60016,B01001_006E,Male,15 to 17 years,1154,320,2021 5 YR
60016,B01001_007E,Male,18 and 19 years,679,242,2021 5 YR
60016,B01001_008E,Male,20 years,183,86,2021 5 YR
60016,B01001_009E,Male,21 years,430,199,2021 5 YR
60016,B01001_010E,Male,22 to 24 years,726,176,2021 5 YR
60016,B01001_011E,Male,25 to 29 years,1740,260,2021 5 YR
60016,B01001_012E,Male,30 to 34 years,2570,374,2021 5 YR
60016,B01001_013E,Male,35 to 39 years,2022,298,2021 5 YR
60016,B01001_014E,Male,40 to 44 years,2082,378,2021 5 YR
60016,B01001_015E,Male,45 to 49 years,1761,370,2021 5 YR
60016,B01001_016E,Male,50 to 54 years,1865,368,2021 5 YR
60016,B01001_017E,Male,55 to 59 years,2379,513,2021 5 YR
60016,B01001_018E,Male,60 and 61 years,1093,266,2021 5 YR
60016,B01001_019E,Male,62 to 64 years,1600,405,2021 5 YR
60016,B01001_020E,Male,65 and 66 years,699,179,2021 5 YR
60016,B01001_021E,Male,67 to 69 years,858,235,2021 5 YR
60016,B01001_022E,Male,70 to 74 years,1200,242,2021 5 YR
60016,B01001_023E,Male,75 to 79 years,738,192,2021 5 YR
60016,B01001_024E,Male,80 to 84 years,538,145,2021 5 YR
60016,B01001_025E,Male,85 years and over,694,268,2021 5 YR
60016,B01001_027E,Female,Under 5 years,1759,330,2021 5 YR
60016,B01001_028E,Female,5 to 9 years,1417,373,2021 5 YR
60016,B01001_029E,Female,10 to 14 years,1807,452,2021 5 YR
60016,B01001_030E,Female,15 to 17 years,1173,325,2021 5 YR
60016,B01001_031E,Female,18 and 19 years,526,200,2021 5 YR
60016,B01001_032E,Female,20 years,177,106,2021 5 YR
60016,B01001_033E,Female,21 years,278,159,2021 5 YR
60016,B01001_034E,Female,22 to 24 years,858,234,2021 5 YR
60016,B01001_035E,Female,25 to 29 years,1922,329,2021 5 YR
60016,B01001_036E,Female,30 to 34 years,2519,411,2021 5 YR
60016,B01001_037E,Female,35 to 39 years,2438,413,2021 5 YR
60016,B01001_038E,Female,40 to 44 years,1832,314,2021 5 YR
60016,B01001_039E,Female,45 to 49 years,1692,299,2021 5 YR
60016,B01001_040E,Female,50 to 54 years,1825,361,2021 5 YR
60016,B01001_041E,Female,55 to 59 years,2636,589,2021 5 YR
60016,B01001_042E,Female,60 and 61 years,1277,322,2021 5 YR
60016,B01001_043E,Female,62 to 64 years,1516,284,2021 5 YR
60016,B01001_044E,Female,65 and 66 years,819,416,2021 5 YR
60016,B01001_045E,Female,67 to 69 years,1100,240,2021 5 YR
60016,B01001_046E,Female,70 to 74 years,1228,274,2021 5 YR
60016,B01001_047E,Female,75 to 79 years,1165,251,2021 5 YR
60016,B01001_048E,Female,80 to 84 years,761,208,2021 5 YR
60016,B01001_049E,Female,85 years and over,1108,266,2021 5 YR
60018,B01001_003E,Male,Under 5 years,910,224,2021 5 YR
60018,B01001_004E,Male,5 to 9 years,817,222,2021 5 YR
60018,B01001_005E,Male,10 to 14 years,1248,368,2021 5 YR
60018,B01001_006E,Male,15 to 17 years,717,178,2021 5 YR
60018,B01001_007E,Male,18 and 19 years,405,126,2021 5 YR
60018,B01001_008E,Male,20 years,158,77,2021 5 YR
60018,B01001_009E,Male,21 years,206,126,2021 5 YR
60018,B01001_010E,Male,22 to 24 years,558,184,2021 5 YR
60018,B01001_011E,Male,25 to 29 years,731,177,2021 5 YR
60018,B01001_012E,Male,30 to 34 years,1094,230,2021 5 YR
60018,B01001_013E,Male,35 to 39 years,885,221,2021 5 YR
60018,B01001_014E,Male,40 to 44 years,1066,267,2021 5 YR
60018,B01001_015E,Male,45 to 49 years,1127,208,2021 5 YR
60018,B01001_016E,Male,50 to 54 years,974,234,2021 5 YR
60018,B01001_017E,Male,55 to 59 years,1198,240,2021 5 YR
60018,B01001_018E,Male,60 and 61 years,401,120,2021 5 YR
60018,B01001_019E,Male,62 to 64 years,572,158,2021 5 YR
60018,B01001_020E,Male,65 and 66 years,319,111,2021 5 YR
60018,B01001_021E,Male,67 to 69 years,260,83,2021 5 YR
60018,B01001_022E,Male,70 to 74 years,493,114,2021 5 YR
60018,B01001_023E,Male,75 to 79 years,283,72,2021 5 YR
60018,B01001_024E,Male,80 to 84 years,219,81,2021 5 YR
60018,B01001_025E,Male,85 years and over,313,121,2021 5 YR
60018,B01001_027E,Female,Under 5 years,840,311,2021 5 YR
60018,B01001_028E,Female,5 to 9 years,790,198,2021 5 YR
60018,B01001_029E,Female,10 to 14 years,855,203,2021 5 YR
60018,B01001_030E,Female,15 to 17 years,446,148,2021 5 YR
60018,B01001_031E,Female,18 and 19 years,563,221,2021 5 YR
60018,B01001_032E,Female,20 years,107,80,2021 5 YR
60018,B01001_033E,Female,21 years,123,108,2021 5 YR
60018,B01001_034E,Female,22 to 24 years,512,163,2021 5 YR
60018,B01001_035E,Female,25 to 29 years,1036,237,2021 5 YR
60018,B01001_036E,Female,30 to 34 years,904,201,2021 5 YR
60018,B01001_037E,Female,35 to 39 years,613,125,2021 5 YR
60018,B01001_038E,Female,40 to 44 years,954,211,2021 5 YR
60018,B01001_039E,Female,45 to 49 years,949,205,2021 5 YR
60018,B01001_040E,Female,50 to 54 years,1196,235,2021 5 YR
60018,B01001_041E,Female,55 to 59 years,928,167,2021 5 YR
60018,B01001_042E,Female,60 and 61 years,396,128,2021 5 YR
60018,B01001_043E,Female,62 to 64 years,576,154,2021 5 YR
60018,B01001_044E,Female,65 and 66 years,282,90,2021 5 YR
60018,B01001_045E,Female,67 to 69 years,331,94,2021 5 YR
60018,B01001_046E,Female,70 to 74 years,551,178,2021 5 YR
60018,B01001_047E,Female,75 to 79 years,442,119,2021 5 YR
60018,B01001_048E,Female,80 to 84 years,322,110,2021 5 YR
60018,B01001_049E,Female,85 years and over,491,154,2021 5 YR
60022,B01001_003E,Male,Under 5 years,203,70,2021 5 YR
60022,B01001_004E,Male,5 to 9 years,400,141,2021 5 YR
60022,B01001_005E,Male,10 to 14 years,342,96,2021 5 YR
60022,B01001_006E,Male,15 to 17 years,248,114,2021 5 YR
60022,B01001_007E,Male,18 and 19 years,96,61,2021 5 YR
60022,B01001_008E,Male,20 years,9,15,2021 5 YR
60022,B01001_009E,Male,21 years,4,7,2021 5 YR
60022,B01001_010E,Male,22 to 24 years,80,61,2021 5 YR
60022,B01001_011E,Male,25 to 29 years,65,48,2021 5 YR
60022,B01001_012E,Male,30 to 34 years,49,37,2021 5 YR
60022,B01001_013E,Male,35 to 39 years,146,65,2021 5 YR
60022,B01001_014E,Male,40 to 44 years,290,115,2021 5 YR
60022,B01001_015E,Male,45 to 49 years,251,96,2021 5 YR
60022,B01001_016E,Male,50 to 54 years,174,76,2021 5 YR
60022,B01001_017E,Male,55 to 59 years,575,211,2021 5 YR
60022,B01001_018E,Male,60 and 61 years,137,76,2021 5 YR
60022,B01001_019E,Male,62 to 64 years,137,65,2021 5 YR
60022,B01001_020E,Male,65 and 66 years,32,32,2021 5 YR
60022,B01001_021E,Male,67 to 69 years,183,143,2021 5 YR
60022,B01001_022E,Male,70 to 74 years,182,91,2021 5 YR
60022,B01001_023E,Male,75 to 79 years,176,73,2021 5 YR
60022,B01001_024E,Male,80 to 84 years,189,125,2021 5 YR
60022,B01001_025E,Male,85 years and over,25,19,2021 5 YR
60022,B01001_027E,Female,Under 5 years,229,90,2021 5 YR
60022,B01001_028E,Female,5 to 9 years,470,144,2021 5 YR
60022,B01001_029E,Female,10 to 14 years,325,100,2021 5 YR
60022,B01001_030E,Female,15 to 17 years,171,79,2021 5 YR
60022,B01001_031E,Female,18 and 19 years,59,55,2021 5 YR
60022,B01001_032E,Female,20 years,266,348,2021 5 YR
60022,B01001_033E,Female,21 years,14,15,2021 5 YR
60022,B01001_034E,Female,22 to 24 years,76,66,2021 5 YR
60022,B01001_035E,Female,25 to 29 years,14,11,2021 5 YR
60022,B01001_036E,Female,30 to 34 years,83,48,2021 5 YR
60022,B01001_037E,Female,35 to 39 years,195,88,2021 5 YR
60022,B01001_038E,Female,40 to 44 years,290,87,2021 5 YR
60022,B01001_039E,Female,45 to 49 years,209,84,2021 5 YR
60022,B01001_040E,Female,50 to 54 years,468,189,2021 5 YR
