"zip_code","variable","sex","age","estimate"
60010,"B01001_048E","Female","80 to 84 years",732
60010,"B01001_049E","Female","85 years and over",685
60015,"B01001_003E","Male","Under 5 years",645
60015,"B01001_004E","Male","5 to 9 years",980
60015,"B01001_005E","Male","10 to 14 years",953
60015,"B01001_006E","Male","15 to 17 years",735
60015,"B01001_007E","Male","18 and 19 years",497
60015,"B01001_008E","Male","20 years",219
60015,"B01001_009E","Male","21 years",148
60015,"B01001_010E","Male","22 to 24 years",551
60015,"B01001_011E","Male","25 to 29 years",304
60015,"B01001_012E","Male","30 to 34 years",474
60015,"B01001_013E","Male","35 to 39 years",703
60015,"B01001_014E","Male","40 to 44 years",927
60015,"B01001_015E","Male","45 to 49 years",1124
60015,"B01001_016E","Male","50 to 54 years",1002
60015,"B01001_017E","Male","55 to 59 years",1029
60015,"B01001_018E","Male","60 and 61 years",468
60015,"B01001_019E","Male","62 to 64 years",570
60015,"B01001_020E","Male","65 and 66 years",340
60015,"B01001_021E","Male","67 to 69 years",352
60015,"B01001_022E","Male","70 to 74 years",558
60015,"B01001_023E","Male","75 to 79 years",295
60015,"B01001_024E","Male","80 to 84 years",270
60015,"B01001_025E","Male","85 years and over",233
60015,"B01001_027E","Female","Under 5 years",715
60015,"B01001_028E","Female","5 to 9 years",905
60015,"B01001_029E","Female","10 to 14 years",1299
60015,"B01001_030E","Female","15 to 17 years",634
60015,"B01001_031E","Female","18 and 19 years",381
60015,"B01001_032E","Female","20 years",54
60015,"B01001_033E","Female","21 years",153
60015,"B01001_034E","Female","22 to 24 years",561
60015,"B01001_035E","Female","25 to 29 years",370
60015,"B01001_036E","Female","30 to 34 years",500
60015,"B01001_037E","Female","35 to 39 years",713
60015,"B01001_038E","Female","40 to 44 years",1106
60015,"B01001_039E","Female","45 to 49 years",1142
60015,"B01001_040E","Female","50 to 54 years",1157
60015,"B01001_041E","Female","55 to 59 years",1157
60015,"B01001_042E","Female","60 and 61 years",397
60015,"B01001_043E","Female","62 to 64 years",509
60015,"B01001_044E","Female","65 and 66 years",262
60015,"B01001_045E","Female","67 to 69 years",415
60015,"B01001_046E","Female","70 to 74 years",570
60015,"B01001_047E","Female","75 to 79 years",283
60015,"B01001_048E","Female","80 to 84 years",315
60015,"B01001_049E","Female","85 years and over",554
60016,"B01001_003E","Male","Under 5 years",2100
60016,"B01001_004E","Male","5 to 9 years",1267
60016,"B01001_005E","Male","10 to 14 years",1615
60016,"B01001_006E","Male","15 to 17 years",664
60016,"B01001_007E","Male","18 and 19 years",478
60016,"B01001_008E","Male","20 years",145
60016,"B01001_009E","Male","21 years",236
60016,"B01001_010E","Male","22 to 24 years",1173
60016,"B01001_011E","Male","25 to 29 years",2116
60016,"B01001_012E","Male","30 to 34 years",2513
60016,"B01001_013E","Male","35 to 39 years",2267
60016,"B01001_014E","Male","40 to 44 years",1663
60016,"B01001_015E","Male","45 to 49 years",1432
60016,"B01001_016E","Male","50 to 54 years",2102
60016,"B01001_017E","Male","55 to 59 years",2082
60016,"B01001_018E","Male","60 and 61 years",886
60016,"B01001_019E","Male","62 to 64 years",1138
60016,"B01001_020E","Male","65 and 66 years",797
60016,"B01001_021E","Male","67 to 69 years",607
60016,"B01001_022E","Male","70 to 74 years",1054
60016,"B01001_023E","Male","75 to 79 years",891
60016,"B01001_024E","Male","80 to 84 years",558
60016,"B01001_025E","Male","85 years and over",389
60016,"B01001_027E","Female","Under 5 years",1677
60016,"B01001_028E","Female","5 to 9 years",1202
60016,"B01001_029E","Female","10 to 14 years",1352
60016,"B01001_030E","Female","15 to 17 years",1295
60016,"B01001_031E","Female","18 and 19 years",585
60016,"B01001_032E","Female","20 years",310
60016,"B01001_033E","Female","21 years",256
60016,"B01001_034E","Female","22 to 24 years",925
60016,"B01001_035E","Female","25 to 29 years",2230
60016,"B01001_036E","Female","30 to 34 years",2613
60016,"B01001_037E","Female","35 to 39 years",1848
60016,"B01001_038E","Female","40 to 44 years",1998
60016,"B01001_039E","Female","45 to 49 years",1706
60016,"B01001_040E","Female","50 to 54 years",2086
60016,"B01001_041E","Female","55 to 59 years",2484
60016,"B01001_042E","Female","60 and 61 years",1050
60016,"B01001_043E","Female","62 to 64 years",1439
60016,"B01001_044E","Female","65 and 66 years",673
60016,"B01001_045E","Female","67 to 69 years",1010
60016,"B01001_046E","Female","70 to 74 years",1096
60016,"B01001_047E","Female","75 to 79 years",1367
60016,"B01001_048E","Female","80 to 84 years",831
60016,"B01001_049E","Female","85 years and over",1085
60018,"B01001_003E","Male","Under 5 years",844
60018,"B01001_004E","Male","5 to 9 years",778
60018,"B01001_005E","Male","10 to 14 years",1232
60018,"B01001_006E","Male","15 to 17 years",744
60018,"B01001_007E","Male","18 and 19 years",465
60018,"B01001_008E","Male","20 years",122
60018,"B01001_009E","Male","21 years",285
60018,"B01001_010E","Male","22 to 24 years",624
60018,"B01001_011E","Male","25 to 29 years",956
60018,"B01001_012E","Male","30 to 34 years",1051
60018,"B01001_013E","Male","35 to 39 years",822
60018,"B01001_014E","Male","40 to 44 years",943
60018,"B01001_015E","Male","45 to 49 years",1247
60018,"B01001_016E","Male","50 to 54 years",990
60018,"B01001_017E","Male","55 to 59 years",985
60018,"B01001_018E","Male","60 and 61 years",399
60018,"B01001_019E","Male","62 to 64 years",578
60018,"B01001_020E","Male","65 and 66 years",286
60018,"B01001_021E","Male","67 to 69 years",410
60018,"B01001_022E","Male","70 to 74 years",503
60018,"B01001_023E","Male","75 to 79 years",280
60018,"B01001_024E","Male","80 to 84 years",258
60018,"B01001_025E","Male","85 years and over",256
60018,"B01001_027E","Female","Under 5 years",920
60018,"B01001_028E","Female","5 to 9 years",907
60018,"B01001_029E","Female","10 to 14 years",838
60018,"B01001_030E","Female","15 to 17 years",516
60018,"B01001_031E","Female","18 and 19 years",625
60018,"B01001_032E","Female","20 years",91
60018,"B01001_033E","Female","21 years",150
60018,"B01001_034E","Female","22 to 24 years",442
60018,"B01001_035E","Female","25 to 29 years",845
60018,"B01001_036E","Female","30 to 34 years",1036
60018,"B01001_037E","Female","35 to 39 years",1037
60018,"B01001_038E","Female","40 to 44 years",940
60018,"B01001_039E","Female","45 to 49 years",956
60018,"B01001_040E","Female","50 to 54 years",1039
60018,"B01001_041E","Female","55 to 59 years",1056
60018,"B01001_042E","Female","60 and 61 years",353
60018,"B01001_043E","Female","62 to 64 years",611
60018,"B01001_044E","Female","65 and 66 years",334
60018,"B01001_045E","Female","67 to 69 years",326
60018,"B01001_046E","Female","70 to 74 years",504
60018,"B01001_047E","Female","75 to 79 years",622
60018,"B01001_048E","Female","80 to 84 years",353
60018,"B01001_049E","Female","85 years and over",478
60022,"B01001_003E","Male","Under 5 years",261
60022,"B01001_004E","Male","5 to 9 years",305
60022,"B01001_005E","Male","10 to 14 years",477
60022,"B01001_006E","Male","15 to 17 years",239
60022,"B01001_007E","Male","18 and 19 years",167
60022,"B01001_008E","Male","20 years",0
60022,"B01001_009E","Male","21 years",44
60022,"B01001_010E","Male","22 to 24 years",98
60022,"B01001_011E","Male","25 to 29 years",76
60022,"B01001_012E","Male","30 to 34 years",49
60022,"B01001_013E","Male","35 to 39 years",216
60022,"B01001_014E","Male","40 to 44 years",294
60022,"B01001_015E","Male","45 to 49 years",304
60022,"B01001_016E","Male","50 to 54 years",227
60022,"B01001_017E","Male","55 to 59 years",391
60022,"B01001_018E","Male","60 and 61 years",176
60022,"B01001_019E","Male","62 to 64 years",200
60022,"B01001_020E","Male","65 and 66 years",72
60022,"B01001_021E","Male","67 to 69 years",119
60022,"B01001_022E","Male","70 to 74 years",203
60022,"B01001_023E","Male","75 to 79 years",248
60022,"B01001_024E","Male","80 to 84 years",53
60022,"B01001_025E","Male","85 years and over",36
60022,"B01001_027E","Female","Under 5 years",256
60022,"B01001_028E","Female","5 to 9 years",312
60022,"B01001_029E","Female","10 to 14 years",368
60022,"B01001_030E","Female","15 to 17 years",256
60022,"B01001_031E","Female","18 and 19 years",10
60022,"B01001_032E","Female","20 years",23
60022,"B01001_033E","Female","21 years",36
60022,"B01001_034E","Female","22 to 24 years",16
60022,"B01001_035E","Female","25 to 29 years",4
60022,"B01001_036E","Female","30 to 34 years",160
60022,"B01001_037E","Female","35 to 39 years",209
60022,"B01001_038E","Female","40 to 44 years",264
60022,"B01001_039E","Female","45 to 49 years",348
60022,"B01001_040E","Female","50 to 54 years",362
60022,"B01001_041E","Female","55 to 59 years",461
60022,"B01001_042E","Female","60 and 61 years",152
60022,"B01001_043E","Female","62 to 64 years",98
60022,"B01001_044E","Female","65 and 66 years",98
60022,"B01001_045E","Female","67 to 69 years",54
60022,"B01001_046E","Female","70 to 74 years",384
60022,"B01001_047E","Female","75 to 79 years",190
60022,"B01001_048E","Female","80 to 84 years",66
60022,"B01001_049E","Female","85 years and over",89
60025,"B01001_003E","Male","Under 5 years",1269
60025,"B01001_004E","Male","5 to 9 years",1744
60025,"B01001_005E","Male","10 to 14 years",1324
60025,"B01001_006E","Male","15 to 17 years",1179
60025,"B01001_007E","Male","18 and 19 years",366
60025,"B01001_008E","Male","20 years",115
60025,"B01001_009E","Male","21 years",134
60025,"B01001_010E","Male","22 to 24 years",369
60025,"B01001_011E","Male","25 to 29 years",970
60025,"B01001_012E","Male","30 to 34 years",957
60025,"B01001_013E","Male","35 to 39 years",1094
60025,"B01001_014E","Male","40 to 44 years",1132
60025,"B01001_015E","Male","45 to 49 years",1507
60025,"B01001_016E","Male","50 to 54 years",1326
60025,"B01001_017E","Male","55 to 59 years",1641
60025,"B01001_018E","Male","60 and 61 years",596
60025,"B01001_019E","Male","62 to 64 years",749
60025,"B01001_020E","Male","65 and 66 years",543
60025,"B01001_021E","Male","67 to 69 years",630
60025,"B01001_022E","Male","70 to 74 years",933
60025,"B01001_023E","Male","75 to 79 years",656
60025,"B01001_024E","Male","80 to 84 years",417
60025,"B01001_025E","Male","85 years and over",460
60025,"B01001_027E","Female","Under 5 years",1116
60025,"B01001_028E","Female","5 to 9 years",1219
60025,"B01001_029E","Female","10 to 14 years",1394
60025,"B01001_030E","Female","15 to 17 years",993
60025,"B01001_031E","Female","18 and 19 years",330
60025,"B01001_032E","Female","20 years",154
60025,"B01001_033E","Female","21 years",114
60025,"B01001_034E","Female","22 to 24 years",424
60025,"B01001_035E","Female","25 to 29 years",615
60025,"B01001_036E","Female","30 to 34 years",968
60025,"B01001_037E","Female","35 to 39 years",1451
60025,"B01001_038E","Female","40 to 44 years",1247
60025,"B01001_039E","Female","45 to 49 years",1398
60025,"B01001_040E","Female","50 to 54 years",1430
60025,"B01001_041E","Female","55 to 59 years",1612
60025,"B01001_042E","Female","60 and 61 years",704
60025,"B01001_043E","Female","62 to 64 years",950
60025,"B01001_044E","Female","65 and 66 years",649
60025,"B01001_045E","Female","67 to 69 years",810
60025,"B01001_046E","Female","70 to 74 years",1129
60025,"B01001_047E","Female","75 to 79 years",761
60025,"B01001_048E","Female","80 to 84 years",673
60025,"B01001_049E","Female","85 years and over",683
60026,"B01001_003E","Male","Under 5 years",431
60026,"B01001_004E","Male","5 to 9 years",498
60026,"B01001_005E","Male","10 to 14 years",536
60026,"B01001_006E","Male","15 to 17 years",407
60026,"B01001_007E","Male","18 and 19 years",153
60026,"B01001_008E","Male","20 years",0
60026,"B01001_009E","Male","21 years",35
60026,"B01001_010E","Male","22 to 24 years",97
60026,"B01001_011E","Male","25 to 29 years",256
60026,"B01001_012E","Male","30 to 34 years",485
60026,"B01001_013E","Male","35 to 39 years",235
60026,"B01001_014E","Male","40 to 44 years",521
60026,"B01001_015E","Male","45 to 49 years",440
60026,"B01001_016E","Male","50 to 54 years",615
60026,"B01001_017E","Male","55 to 59 years",395
60026,"B01001_018E","Male","60 and 61 years",218
60026,"B01001_019E","Male","62 to 64 years",208
60026,"B01001_020E","Male","65 and 66 years",121
60026,"B01001_021E","Male","67 to 69 years",272
60026,"B01001_022E","Male","70 to 74 years",184
60026,"B01001_023E","Male","75 to 79 years",328
60026,"B01001_024E","Male","80 to 84 years",126
60026,"B01001_025E","Male","85 years and over",228
60026,"B01001_027E","Female","Under 5 years",285
60026,"B01001_028E","Female","5 to 9 years",407
60026,"B01001_029E","Female","10 to 14 years",518
60026,"B01001_030E","Female","15 to 17 years",493
60026,"B01001_031E","Female","18 and 19 years",101
60026,"B01001_032E","Female","20 years",53
60026,"B01001_033E","Female","21 years",23
60026,"B01001_034E","Female","22 to 24 years",124
60026,"B01001_035E","Female","25 to 29 years",89
60026,"B01001_036E","Female","30 to 34 years",403
60026,"B01001_037E","Female","35 to 39 years",300
60026,"B01001_038E","Female","40 to 44 years",561
60026,"B01001_039E","Female","45 to 49 years",524
60026,"B01001_040E","Female","50 to 54 years",526
60026,"B01001_041E","Female","55 to 59 years",436
60026,"B01001_042E","Female","60 and 61 years",150
60026,"B01001_043E","Female","62 to 64 years",339
60026,"B01001_044E","Female","65 and 66 years",223
60026,"B01001_045E","Female","67 to 69 years",239
60026,"B01001_046E","Female","70 to 74 years",414
60026,"B01001_047E","Female","75 to 79 years",357
60026,"B01001_048E","Female","80 to 84 years",217
60026,"B01001_049E","Female","85 years and over",450
60029,"B01001_003E","Male","Under 5 years",7
60029,"B01001_004E","Male","5 to 9 years",24
60029,"B01001_005E","Male","10 to 14 years",23
