census_name,clean_name,census_place_code,variable,sex,age,estimate,margin_of_error
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_019E,Male,62 to 64 years,257,137
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_020E,Male,65 and 66 years,145,87
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_021E,Male,67 to 69 years,173,81
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_022E,Male,70 to 74 years,210,96
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_023E,Male,75 to 79 years,162,91
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_024E,Male,80 to 84 years,164,101
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_025E,Male,85 years and over,152,77
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_027E,Female,Under 5 years,518,177
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_028E,Female,5 to 9 years,547,237
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_029E,Female,10 to 14 years,490,187
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_030E,Female,15 to 17 years,151,71
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_031E,Female,18 and 19 years,70,47
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_032E,Female,20 years,83,66
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_033E,Female,21 years,125,117
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_034E,Female,22 to 24 years,241,109
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_035E,Female,25 to 29 years,343,150
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_036E,Female,30 to 34 years,729,223
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_037E,Female,35 to 39 years,715,181
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_038E,Female,40 to 44 years,475,166
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_039E,Female,45 to 49 years,749,237
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_040E,Female,50 to 54 years,508,164
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_041E,Female,55 to 59 years,595,165
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_042E,Female,60 and 61 years,197,134
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_043E,Female,62 to 64 years,277,111
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_044E,Female,65 and 66 years,129,86
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_045E,Female,67 to 69 years,270,99
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_046E,Female,70 to 74 years,276,93
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_047E,Female,75 to 79 years,324,122
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_048E,Female,80 to 84 years,123,62
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_049E,Female,85 years and over,392,217
"Bedford Park village, Illinois",Bedford Park,04572,B01001_003E,Male,Under 5 years,21,26
"Bedford Park village, Illinois",Bedford Park,04572,B01001_004E,Male,5 to 9 years,34,35
"Bedford Park village, Illinois",Bedford Park,04572,B01001_005E,Male,10 to 14 years,15,16
"Bedford Park village, Illinois",Bedford Park,04572,B01001_006E,Male,15 to 17 years,10,11
"Bedford Park village, Illinois",Bedford Park,04572,B01001_007E,Male,18 and 19 years,9,11
"Bedford Park village, Illinois",Bedford Park,04572,B01001_008E,Male,20 years,0,11
"Bedford Park village, Illinois",Bedford Park,04572,B01001_009E,Male,21 years,6,11
"Bedford Park village, Illinois",Bedford Park,04572,B01001_010E,Male,22 to 24 years,17,15
"Bedford Park village, Illinois",Bedford Park,04572,B01001_011E,Male,25 to 29 years,17,18
"Bedford Park village, Illinois",Bedford Park,04572,B01001_012E,Male,30 to 34 years,48,38
"Bedford Park village, Illinois",Bedford Park,04572,B01001_013E,Male,35 to 39 years,23,26
"Bedford Park village, Illinois",Bedford Park,04572,B01001_014E,Male,40 to 44 years,27,25
"Bedford Park village, Illinois",Bedford Park,04572,B01001_015E,Male,45 to 49 years,18,19
"Bedford Park village, Illinois",Bedford Park,04572,B01001_016E,Male,50 to 54 years,15,15
"Bedford Park village, Illinois",Bedford Park,04572,B01001_017E,Male,55 to 59 years,18,20
"Bedford Park village, Illinois",Bedford Park,04572,B01001_018E,Male,60 and 61 years,12,10
"Bedford Park village, Illinois",Bedford Park,04572,B01001_019E,Male,62 to 64 years,11,10
"Bedford Park village, Illinois",Bedford Park,04572,B01001_020E,Male,65 and 66 years,6,9
"Bedford Park village, Illinois",Bedford Park,04572,B01001_021E,Male,67 to 69 years,5,5
"Bedford Park village, Illinois",Bedford Park,04572,B01001_022E,Male,70 to 74 years,13,11
"Bedford Park village, Illinois",Bedford Park,04572,B01001_023E,Male,75 to 79 years,4,4
"Bedford Park village, Illinois",Bedford Park,04572,B01001_024E,Male,80 to 84 years,9,6
"Bedford Park village, Illinois",Bedford Park,04572,B01001_025E,Male,85 years and over,3,4
"Bedford Park village, Illinois",Bedford Park,04572,B01001_027E,Female,Under 5 years,3,5
"Bedford Park village, Illinois",Bedford Park,04572,B01001_028E,Female,5 to 9 years,19,18
"Bedford Park village, Illinois",Bedford Park,04572,B01001_029E,Female,10 to 14 years,24,26
"Bedford Park village, Illinois",Bedford Park,04572,B01001_030E,Female,15 to 17 years,18,25
"Bedford Park village, Illinois",Bedford Park,04572,B01001_031E,Female,18 and 19 years,0,11
"Bedford Park village, Illinois",Bedford Park,04572,B01001_032E,Female,20 years,2,5
"Bedford Park village, Illinois",Bedford Park,04572,B01001_033E,Female,21 years,3,5
"Bedford Park village, Illinois",Bedford Park,04572,B01001_034E,Female,22 to 24 years,2,5
"Bedford Park village, Illinois",Bedford Park,04572,B01001_035E,Female,25 to 29 years,7,10
"Bedford Park village, Illinois",Bedford Park,04572,B01001_036E,Female,30 to 34 years,34,32
"Bedford Park village, Illinois",Bedford Park,04572,B01001_037E,Female,35 to 39 years,26,22
"Bedford Park village, Illinois",Bedford Park,04572,B01001_038E,Female,40 to 44 years,21,18
"Bedford Park village, Illinois",Bedford Park,04572,B01001_039E,Female,45 to 49 years,10,9
"Bedford Park village, Illinois",Bedford Park,04572,B01001_040E,Female,50 to 54 years,10,11
"Bedford Park village, Illinois",Bedford Park,04572,B01001_041E,Female,55 to 59 years,24,20
"Bedford Park village, Illinois",Bedford Park,04572,B01001_042E,Female,60 and 61 years,7,9
"Bedford Park village, Illinois",Bedford Park,04572,B01001_043E,Female,62 to 64 years,9,7
"Bedford Park village, Illinois",Bedford Park,04572,B01001_044E,Female,65 and 66 years,13,16
"Bedford Park village, Illinois",Bedford Park,04572,B01001_045E,Female,67 to 69 years,3,7
"Bedford Park village, Illinois",Bedford Park,04572,B01001_046E,Female,70 to 74 years,16,13
"Bedford Park village, Illinois",Bedford Park,04572,B01001_047E,Female,75 to 79 years,5,6
"Bedford Park village, Illinois",Bedford Park,04572,B01001_048E,Female,80 to 84 years,5,8
"Bedford Park village, Illinois",Bedford Park,04572,B01001_049E,Female,85 years and over,12,12
"Bellwood village, Illinois",Bellwood,04975,B01001_003E,Male,Under 5 years,727,243
"Bellwood village, Illinois",Bellwood,04975,B01001_004E,Male,5 to 9 years,671,268
"Bellwood village, Illinois",Bellwood,04975,B01001_005E,Male,10 to 14 years,354,122
"Bellwood village, Illinois",Bellwood,04975,B01001_006E,Male,15 to 17 years,329,123
"Bellwood village, Illinois",Bellwood,04975,B01001_007E,Male,18 and 19 years,283,125
"Bellwood village, Illinois",Bellwood,04975,B01001_008E,Male,20 years,133,96
"Bellwood village, Illinois",Bellwood,04975,B01001_009E,Male,21 years,120,65
"Bellwood village, Illinois",Bellwood,04975,B01001_010E,Male,22 to 24 years,262,109
"Bellwood village, Illinois",Bellwood,04975,B01001_011E,Male,25 to 29 years,720,252
"Bellwood village, Illinois",Bellwood,04975,B01001_012E,Male,30 to 34 years,798,218
"Bellwood village, Illinois",Bellwood,04975,B01001_013E,Male,35 to 39 years,563,152
"Bellwood village, Illinois",Bellwood,04975,B01001_014E,Male,40 to 44 years,448,163
"Bellwood village, Illinois",Bellwood,04975,B01001_015E,Male,45 to 49 years,600,181
