zcta,variable,sex,age,total_pop,pop_in_cook
60015,P012029,Female,10 to 14 years,1066,0
60015,P012030,Female,15 to 17 years,708,0
60015,P012031,Female,18 and 19 years,269,0
60015,P012032,Female,20 years,119,0
60015,P012033,Female,21 years,123,0
60015,P012034,Female,22 to 24 years,367,0
60015,P012035,Female,25 to 29 years,411,2
60015,P012036,Female,30 to 34 years,488,0
60015,P012037,Female,35 to 39 years,820,0
60015,P012038,Female,40 to 44 years,1074,1
60015,P012039,Female,45 to 49 years,1253,0
60015,P012040,Female,50 to 54 years,1295,1
60015,P012041,Female,55 to 59 years,1047,2
60015,P012042,Female,60 and 61 years,341,0
60015,P012043,Female,62 to 64 years,498,0
60015,P012044,Female,65 and 66 years,250,0
60015,P012045,Female,67 to 69 years,377,0
60015,P012046,Female,70 to 74 years,407,3
60015,P012047,Female,75 to 79 years,343,5
60015,P012048,Female,80 to 84 years,310,21
60015,P012049,Female,85 years and over,368,90
60016,P012003,Male,Under 5 years,1863,1863
60016,P012004,Male,5 to 9 years,1580,1580
60016,P012005,Male,10 to 14 years,1586,1586
60016,P012006,Male,15 to 17 years,1079,1079
60016,P012007,Male,18 and 19 years,659,659
60016,P012008,Male,20 years,315,315
60016,P012009,Male,21 years,347,347
60016,P012010,Male,22 to 24 years,1182,1182
60016,P012011,Male,25 to 29 years,2289,2289
60016,P012012,Male,30 to 34 years,2461,2461
60016,P012013,Male,35 to 39 years,2055,2055
60016,P012014,Male,40 to 44 years,1995,1995
60016,P012015,Male,45 to 49 years,1984,1984
60016,P012016,Male,50 to 54 years,2270,2270
60016,P012017,Male,55 to 59 years,2033,2033
60016,P012018,Male,60 and 61 years,669,669
60016,P012019,Male,62 to 64 years,1021,1021
60016,P012020,Male,65 and 66 years,490,490
60016,P012021,Male,67 to 69 years,640,640
60016,P012022,Male,70 to 74 years,861,861
60016,P012023,Male,75 to 79 years,627,627
60016,P012024,Male,80 to 84 years,544,544
60016,P012025,Male,85 years and over,414,414
60016,P012027,Female,Under 5 years,1822,1822
60016,P012028,Female,5 to 9 years,1499,1499
60016,P012029,Female,10 to 14 years,1432,1432
60016,P012030,Female,15 to 17 years,1048,1048
60016,P012031,Female,18 and 19 years,554,554
60016,P012032,Female,20 years,284,284
60016,P012033,Female,21 years,305,305
60016,P012034,Female,22 to 24 years,1109,1109
60016,P012035,Female,25 to 29 years,2419,2419
60016,P012036,Female,30 to 34 years,2324,2324
60016,P012037,Female,35 to 39 years,1941,1941
60016,P012038,Female,40 to 44 years,1892,1892
60016,P012039,Female,45 to 49 years,2158,2158
60016,P012040,Female,50 to 54 years,2438,2438
60016,P012041,Female,55 to 59 years,2204,2204
60016,P012042,Female,60 and 61 years,802,802
60016,P012043,Female,62 to 64 years,1108,1108
60016,P012044,Female,65 and 66 years,606,606
60016,P012045,Female,67 to 69 years,806,806
60016,P012046,Female,70 to 74 years,1139,1139
60016,P012047,Female,75 to 79 years,987,987
60016,P012048,Female,80 to 84 years,865,865
60016,P012049,Female,85 years and over,984,984
60018,P012003,Male,Under 5 years,1005,1005
60018,P012004,Male,5 to 9 years,1060,1060
60018,P012005,Male,10 to 14 years,1043,1043
60018,P012006,Male,15 to 17 years,697,697
60018,P012007,Male,18 and 19 years,392,392
60018,P012008,Male,20 years,185,185
60018,P012009,Male,21 years,181,181
60018,P012010,Male,22 to 24 years,635,635
60018,P012011,Male,25 to 29 years,1074,1074
60018,P012012,Male,30 to 34 years,1044,1044
60018,P012013,Male,35 to 39 years,1021,1021
60018,P012014,Male,40 to 44 years,1084,1084
60018,P012015,Male,45 to 49 years,1086,1086
60018,P012016,Male,50 to 54 years,1128,1128
