geoid_zcta,variable,sex,age,total_pop,pop_in_cook
60155,P12_039N,Female,45 to 49 years,250,250
60155,P12_040N,Female,50 to 54 years,319,319
60155,P12_041N,Female,55 to 59 years,325,325
60155,P12_042N,Female,60 and 61 years,152,152
60155,P12_043N,Female,62 to 64 years,223,223
60155,P12_044N,Female,65 and 66 years,108,108
60155,P12_045N,Female,67 to 69 years,171,171
60155,P12_046N,Female,70 to 74 years,245,245
60155,P12_047N,Female,75 to 79 years,160,160
60155,P12_048N,Female,80 to 84 years,85,85
60155,P12_049N,Female,85 years and over,78,78
60160,P12_003N,Male,Under 5 years,747,747
60160,P12_004N,Male,5 to 9 years,887,887
60160,P12_005N,Male,10 to 14 years,1017,1017
60160,P12_006N,Male,15 to 17 years,506,506
60160,P12_007N,Male,18 and 19 years,370,370
60160,P12_008N,Male,20 years,198,198
60160,P12_009N,Male,21 years,194,194
60160,P12_010N,Male,22 to 24 years,477,477
60160,P12_011N,Male,25 to 29 years,869,869
60160,P12_012N,Male,30 to 34 years,894,894
60160,P12_013N,Male,35 to 39 years,930,930
60160,P12_014N,Male,40 to 44 years,874,874
60160,P12_015N,Male,45 to 49 years,848,848
60160,P12_016N,Male,50 to 54 years,731,731
60160,P12_017N,Male,55 to 59 years,699,699
60160,P12_018N,Male,60 and 61 years,256,256
60160,P12_019N,Male,62 to 64 years,391,391
60160,P12_020N,Male,65 and 66 years,226,226
60160,P12_021N,Male,67 to 69 years,268,268
60160,P12_022N,Male,70 to 74 years,339,339
60160,P12_023N,Male,75 to 79 years,219,219
60160,P12_024N,Male,80 to 84 years,136,136
60160,P12_025N,Male,85 years and over,136,136
60160,P12_027N,Female,Under 5 years,783,783
60160,P12_028N,Female,5 to 9 years,853,853
60160,P12_029N,Female,10 to 14 years,958,958
60160,P12_030N,Female,15 to 17 years,551,551
60160,P12_031N,Female,18 and 19 years,354,354
60160,P12_032N,Female,20 years,180,180
60160,P12_033N,Female,21 years,189,189
60160,P12_034N,Female,22 to 24 years,518,518
60160,P12_035N,Female,25 to 29 years,938,938
60160,P12_036N,Female,30 to 34 years,875,875
60160,P12_037N,Female,35 to 39 years,938,938
60160,P12_038N,Female,40 to 44 years,777,777
60160,P12_039N,Female,45 to 49 years,850,850
60160,P12_040N,Female,50 to 54 years,762,762
60160,P12_041N,Female,55 to 59 years,706,706
60160,P12_042N,Female,60 and 61 years,284,284
60160,P12_043N,Female,62 to 64 years,373,373
60160,P12_044N,Female,65 and 66 years,216,216
60160,P12_045N,Female,67 to 69 years,275,275
60160,P12_046N,Female,70 to 74 years,412,412
60160,P12_047N,Female,75 to 79 years,296,296
60160,P12_048N,Female,80 to 84 years,218,218
60160,P12_049N,Female,85 years and over,258,258
